央视频道,#genre#
CCTV10,http://175.173.198.22:9020/rtp/232.0.0.138:1234,1.23
CCTV10,http://221.219.79.161:4000/rtp/239.3.1.63:8116,1.01
CCTV10,http://114.246.96.72:4000/rtp/239.3.1.63:8116,1.01
CCTV10,http://123.121.2.167:4000/rtp/239.3.1.63:8116,1.0
CCTV10,http://111.196.129.152:20000/rtp/239.3.1.63:8116,0.83
CCTV10,http://114.252.238.87:8000/rtp/239.3.1.63:8116,0.79
CCTV10,http://123.118.229.243:9090/rtp/239.3.1.63:8116,0.78
CCTV10,http://123.118.159.0:8686/rtp/239.3.1.63:8116,0.73
CCTV10,http://60.2.190.206:4000/rtp/239.253.92.196:6061,0.69
CCTV10,http://115.171.216.209:4000/rtp/225.1.8.10:8116,0.65
CCTV10,http://175.173.198.22:9001/rtp/232.0.0.138:1234,0.63
CCTV10,http://222.128.86.76:8133/rtp/239.3.1.63:8116,0.62
CCTV10,http://123.113.187.204:8000/rtp/239.3.1.63:8116,0.61
CCTV10,http://123.113.189.90:8001/rtp/239.3.1.63:8116,0.61
CCTV10,http://114.243.110.0:4000/rtp/239.3.1.63:8116,0.61
CCTV10,http://222.129.139.229:8888/rtp/239.3.1.63:8116,0.61
CCTV10,http://175.146.122.104:8888/rtp/232.0.0.138:1234,0.6
CCTV10,http://114.254.85.102:8888/rtp/239.3.1.63:8116,0.6
CCTV10,http://60.10.106.114:555/rtp/239.253.92.196:6061,0.58
CCTV11,http://175.173.198.22:9009/rtp/232.0.0.178:1234,1.83
CCTV11,http://175.173.198.22:9010/rtp/232.0.0.178:1234,1.28
CCTV11,http://175.173.198.22:9020/rtp/232.0.0.178:1234,1.23
CCTV11,http://221.219.79.161:4000/rtp/239.3.1.152:8120,1.01
CCTV11,http://114.246.96.72:4000/rtp/239.3.1.152:8120,1.01
CCTV11,http://123.121.2.167:4000/rtp/239.3.1.152:8120,1.0
CCTV11,http://111.196.129.152:20000/rtp/239.3.1.152:8120,0.83
CCTV11,http://114.252.238.87:8000/rtp/239.3.1.152:8120,0.79
CCTV11,http://123.118.229.243:9090/rtp/239.3.1.152:8120,0.78
CCTV11,http://123.118.159.0:8686/rtp/239.3.1.152:8120,0.73
CCTV11,http://60.2.190.206:4000/rtp/239.253.93.153:6321,0.69
CCTV11,http://115.171.216.209:4000/rtp/225.1.8.73:8120,0.65
CCTV11,http://175.173.198.22:9001/rtp/232.0.0.178:1234,0.63
CCTV11,http://222.128.86.76:8133/rtp/239.3.1.152:8120,0.62
CCTV11,http://123.113.187.204:8000/rtp/239.3.1.152:8120,0.61
CCTV11,http://123.113.189.90:8001/rtp/239.3.1.152:8120,0.61
CCTV11,http://114.243.110.0:4000/rtp/239.3.1.152:8120,0.61
CCTV11,http://222.129.139.229:8888/rtp/239.3.1.152:8120,0.61
CCTV11,http://175.146.122.104:8888/rtp/232.0.0.178:1234,0.6
