奥运2024频道,#genre#
ELTA奥运1台,https://api.btbt.im/live?id=elta-oly1
ELTA奥运2台,https://api.btbt.im/live?id=elta-oly2
ELTA奥运3台,https://api.btbt.im/live?id=elta-oly3
ELTA奥运4台,https://api.btbt.im/live?id=elta-oly4
ELTA奥运5台,https://api.btbt.im/live?id=elta-oly5
ELTA奥运6台,https://api.btbt.im/live?id=elta-oly6
ELTA奥运7台,https://api.btbt.im/live?id=elta-oly7
Astro OLY 1,https://api.btbt.im/live?id=astro-oly1
Astro OLY 2,https://api.btbt.im/live?id=astro-oly2
Astro OLY 3,https://api.btbt.im/live?id=astro-oly3
Astro OLY 4,https://api.btbt.im/live?id=astro-oly4
Astro OLY 5,https://api.btbt.im/live?id=astro-oly5
MyTVSuper奥运801,https://api.btbt.im/live?id=mytvsuper-oly801
MyTVSuper奥运802,https://api.btbt.im/live?id=mytvsuper-oly802
MyTVSuper奥运803,https://api.btbt.im/live?id=mytvsuper-oly803
MyTVSuper奥运804,https://api.btbt.im/live?id=mytvsuper-oly804
MyTVSuper奥运805,https://api.btbt.im/live?id=mytvsuper-oly805
MyTVSuper奥运806,https://api.btbt.im/live?id=mytvsuper-oly806
MyTVSuper奥运807,https://api.btbt.im/live

央视频道,#genre#
河南卫视,http://113.57.109.48:1111/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://113.9.149.250:88/hls/52/index.m3u8
河南卫视,http://113.9.152.139:88/hls/52/index.m3u8
河南卫视,http://113.9.152.139:88:9003/hls/93/index.m3u8
河南卫视,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/henws.m3u8
浙江卫视,http://110.241.190.30:808/hls/26/index.m3u8
浙江卫视,http://113.57.109.48:1111/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://113.9.149.250:88/hls/42/index.m3u8
浙江卫视,http://113.9.152.139:88/hls/42/index.m3u8
浙江卫视,http://113.9.152.139:88:9003/hls/84/index.m3u8
海南卫视,http://113.57.109.48:1111/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://113.9.149.250:88/hls/62/index.m3u8
海南卫视,http://113.9.152.139:88/hls/62/index.m3u8
海南卫视,http://113.9.152.139:88:9003/hls/91/index.m3u8
深圳卫视,http://110.241.190.30:808/hls/23/index.m3u8
深圳卫视,http://113.57.109.48:1111/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://113.9.149.250:88/hls/40/index.m3u8
深圳卫视,http://113.9.152.139:88/hls/40/index.m3u8
深圳卫视,http://113.9.152.139:88:9003/hls/96/index.m3u8
湖北卫视,http://110.241.190.30:808/hls/30/index.m3u8
湖北卫视,http://113.57.109.48:1111/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://113.9.149.250:88/hls/34/index.m3u8
湖北卫视,http://113.9.152.139:88/hls/34/index.m3u8
湖北卫视,http://113.9.152.139:88:9003/hls/98/index.m3u8
湖北卫视,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/hbws.m3u8
湖南卫视,http://110.241.190.30:808/hls/19/index.m3u8
湖南卫视,http://113.57.109.48:1111/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://113.9.149.250:88/hls/33/index.m3u8
湖南卫视,http://113.9.152.139:88/hls/33/index.m3u8
湖南卫视,http://113.9.152.139:88:9003/hls/80/index.m3u8
甘肃卫视,http://110.241.190.30:808/hls/44/index.m3u8
甘肃卫视,http://113.9.149.250:88/hls/54/index.m3u8
甘肃卫视,http://113.9.152.139:88/hls/54/index.m3u8
甘肃卫视,http://113.9.152.139:88:9003/hls/112/index.m3u8
西藏卫视,http://110.241.190.30:808/hls/42/index.m3u8
西藏卫视,http://113.9.149.250:88/hls/58/index.m3u8
西藏卫视,http://113.9.152.139:88/hls/58/index.m3u8
西藏卫视,http://113.9.152.139:88:9003/hls/106/index.m3u8
贵州卫视,http://110.241.190.30:808/hls/49/index.m3u8
贵州卫视,http://113.57.109.48:1111/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://113.9.149.250:88/hls/46/index.m3u8
贵州卫视,http://113.9.152.139:88/hls/46/index.m3u8
贵州卫视,http://113.9.152.139:88:9003/hls/81/index.m3u8
贵州卫视,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/gzws.m3u8
辽宁卫视,http://110.241.190.30:808/hls/28/index.m3u8
辽宁卫视,http://113.57.109.48:1111/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://113.9.149.250:88/hls/30/index.m3u8
辽宁卫视,http://113.9.152.139:88/hls/30/index.m3u8
辽宁卫视,http://113.9.152.139:88:9003/hls/92/index.m3u8
辽宁卫视,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/lnws.m3u8
重庆卫视,http://110.241.190.30:808/hls/33/index.m3u8
重庆卫视,http://113.57.109.48:1111/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://113.9.149.250:88/hls/53/index.m3u8
重庆卫视,http://113.9.152.139:88/hls/53/index.m3u8
重庆卫视,http://113.9.152.139:88:9003/hls/101/index.m3u8
重庆卫视,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cqws.m3u8
陕西卫视,http://110.241.190.30:808/hls/37/index.m3u8
陕西卫视,http://113.9.149.250:88/hls/50/index.m3u8
陕西卫视,http://113.9.152.139:88/hls/50/index.m3u8
陕西卫视,http://113.9.152.139:88:9003/hls/111/index.m3u8
青海卫视,http://110.241.190.30:808/hls/40/index.m3u8
青海卫视,http://113.9.149.250:88/hls/49/index.m3u8
青海卫视,http://113.9.152.139:88/hls/49/index.m3u8
青海卫视,http://113.9.152.139:88:9003/hls/105/index.m3u8
黑龙江卫视,http://110.241.190.30:808/hls/27/index.m3u8
黑龙江卫视,http://113.57.109.48:1111/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://113.9.149.250:88/hls/18/index.m3u8
黑龙江卫视,http://113.9.152.139:88/hls/18/index.m3u8
黑龙江卫视,http://113.9.152.139:88:9003/hls/21/index.m3u8
黑龙江卫视,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/hljws.m3u8
地方频道,#genre#
2000年春晚,https://txmov2.a.kwimgs.com/bs3/videohls/5216294359327079321_hls15.m3u8
2001年春晚,https://txmov2.a.kwimgs.com/bs3/videohls/5228960735897942616_hls15.m3u8
